x,y,address
-95.3899527,29.5793542,16100 SOUTH FWY
-95.6439333,29.7754197,18900 MEMORIAL BLVD
-95.35477580000001,29.7216187,3800 CANFIELD ST
-95.39359379999999,29.7125935,1500 TAUB LOOP 
-95.31065199999999,29.6584694,6600 SOUTHBROOK DR
-95.2681657,29.6730845,8200 STONE 
-95.3558863,29.6512848,10000 CULLEN BLVD
-95.4546166,29.6892548,4500 BEECHNUT ST
-95.437339,29.6724655,3900 OMEARA DR
-95.4534126,29.6046852,4900 GATEWOOD AVE
-95.48572999999999,29.699848,5900 BISSONNET ST
-95.48909359999999,29.7236996,5400 RAMPART 
-95.4642015,29.7299041,3300 MCCUE RD
-95.53824279999999,29.7381277,9600 WESTHEIMER RD
-95.5627587,29.6865346,10500 SPICE LN
-95.5786851,29.68841119999999,11400 BEECHNUT ST
-95.3830411,29.7446647,200 WESTHEIMER RD
-95.5496088,29.7118552,9500 TOWN PARK DR
-95.5454123,29.707203,9200 CLAREWOOD DR
-95.54364199999999,29.7346346,2900 ELMSIDE DR
-95.3698028,29.7604267,800 TOWN AND COUNTRY PVT BLVD
-95.4094697,29.7704677,1000 SHEPHERD DR
-95.4724009,29.8451357,5500 ANTOINE DR
-95.5027865,29.8031048,9700 LONG POINT RD
-95.5143205,29.7976858,9100 PECOS 
-95.5108216,29.8487888,7900 GROW 
-95.28021,29.851138,8000 TIDWELL RD
-95.47584289999999,29.8803922,5900 ARNCLIFFE DR
-95.1713059,29.826494,200 SAM HOUSTON PKWY
-95.3080966,29.8116277,5600 KELLEY 
-95.3080966,29.8116277,5600 KELLEY 
-95.3080966,29.8116277,5600 KELLEY 
-95.3540038,29.8749093,11000 ALDINE WESTFIELD RD
-95.25924920000001,29.8543575,9000 STERLINGSHIRE 
